,0
0,-1778.0299701702315
1,-158.62033666670322
2,0.0
3,0.0
4,0.0
5,0.0
6,1737.6055657472461
7,-1351.6065987369511
8,6599.386978174327
9,-327.3288015255239
10,-415.3747988829855
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,4957.735316730104
57,-105.30189573648386
58,0.0
59,0.0
60,0.0
61,0.0
